"All Family Country","Total"
"WO",119
"EP",86
"US",86
"TW",41
"CN",36
"JP",33
"KR",26
"CA",17
"AU",13
"IN",13
"IL",12
"FI",9
"SE",6
"HK",5
"GB",3
"PL",2
"SG",2
"BR",1
"DE",1
"FR",1
"MX",1
"PH",1
"ZA",1
